X axis speed, mm/s;Y axis speed, mm/s;Rotational speed, deg/s;Motor 1 encoder, ticks;Motor 2 encoder, ticks;Motor 3 encoder, ticks;Motor 1 velocity, rpm;Motor 2 velocity, rpm;Motor 3 velocity, rpm;Motor 1 current, A;Motor 2 current, A;Motor 3 current, A;Sum motor current, A;Current X, A;Current Y, A;Current Z, A;X coordinate, pixels;Y coodinate, pixels;Angle, deg;Delta angle, deg;Delta X, mm;Delta Y, mm
100;0;0;-2211.46153846154;0.230769230769231;2206.84615384615;-251.307692307692;-2.07692307692308;272.076923076923;0.528599615384615;0.0493096153846154;0.512820461538462;1.09073038461538;0.479126307692308;0.0663392869230769;0.0643668253846154;884.256846153846;236.595;148.932846153846;-1.755089;26.3928;2.448923
100;0;0;-6640.30769230769;-18.0769230769231;6509.76923076923;-294.923076923077;-2.07692307692308;284.538461538462;0.396449615384615;0.0236686230769231;0.441814615384615;0.859960461538462;0.488230769230769;0.0151124769230769;0.00919523076923075;876.890384615385;255.045538461538;148.599076923077;-1.608601;35.64348;6.334054
100;0;0;-10862;-31.2307692307692;10809.4615384615;-282.461538461538;2.07692307692308;297;0.510848076923077;0.0256410153846154;0.358974076923077;0.903353307692308;0.506439846153846;-0.0703037492307692;-0.0446627215384615;868.560153846154;272.463615384615;148.909461538462;-0.00965199999994337;31.45502;3.595254
100;0;0;-15490.0769230769;-5.23076923076923;15473.3076923077;-292.846153846154;-4.15384615384615;290.769230769231;0.358974230769231;0.00197238461538462;0.429980076923077;0.777120461538462;0.433603615384615;0.0282445615384615;0.0262721769230769;858.060923076923;289.847384615385;149.181230769231;0.808824999999972;33.88099;1.020337
100;0;0;-19412.8461538462;-10.1538461538462;19425.9230769231;-284.538461538462;0;292.846153846154;0.524654846153846;0.00788954615384615;0.276134015384615;0.800789615384615;0.443846230769231;-0.0827653076923077;-0.0748757615384616;848.147153846154;305.716615384615;149.462076923077;-5.6843418860808e-14;33.29503;-1.382609
100;0;0;-23413.5384615385;-16.4615384615385;23526.5384615385;-284.538461538462;0;288.692307692308;0.518737769230769;0.00394476923076923;0.435897307692308;0.944774615384615;0.537167692307692;-0.0315305923076923;-0.0275858230769231;840.608538461539;320.105307692308;148.994923076923;-1.48035800000003;30.48195;1.989927
100;0;0;-27473.6153846154;-15.0769230769231;27566.9230769231;-290.769230769231;0;276.230769230769;0.465483153846154;0.0177514615384615;0.487179384615385;0.970414461538461;0.542858153846154;-0.000674552307692307;0.0170769138461538;832.209307692308;334.907384615385;149.099076923077;-0.676607000000085;31.88714;2.760622
100;0;0;-31571.4615384615;-2.53846153846154;31593.0769230769;-282.461538461538;2.07692307692308;288.692307692308;0.441814538461539;0.0433924923076923;0.396449538461539;0.901381307692308;0.491644923076923;-0.0381380647923077;0.00525444653554462;823.328076923077;350.535538461539;148.974;1.08815799999997;31.46967;-1.225902
100;0;0;-35507.3076923077;24.2307692307692;35473.3076923077;-288.692307692308;0;288.692307692308;0.467455769230769;0.0295858;0.508875692307692;0.988165538461538;0.555376769230769;-0.00397041076923077;0.0256153955871308;813.758538461538;363.065307692308;149.340384615385;-2.45103799999989;29.61969;-1.608171
100;0;0;-39403.6153846154;1.92307692307692;39293.7692307692;-292.846153846154;-2.07692307692308;288.692307692308;0.345167307692308;0.00394476923076923;0.487179538461538;0.836291769230769;0.480264307692308;0.0472899461538462;0.0472899384615385;805.359230769231;377.041153846154;148.962307692308;-0.686276999999943;31.06898;-0.53954
100;0;0;-43226.4615384615;8.46153846153846;43036.3846153846;-297;0;286.615384615385;0.351084692307692;0.0157790769230769;0.341222538461539;0.708087076923077;0.399461615384615;-0.0138086723076923;0.00197042;795.996153846154;391.774230769231;148.918230769231;-0.560181999999829;34.74823;-0.199062
100;0;0;-47691.3076923077;1.53846153846154;47472.9230769231;-292.846153846154;-8.30769230769231;294.923076923077;0.376725538461538;0.0236686461538462;0.335305384615385;0.749507153846154;0.418808769230769;-0.02496246;-0.0210177430769231;786.323307692308;407.264538461538;148.866923076923;5.68989300120393e-14;32.46462;0.378113
100;0;0;-51568.7692307692;-14.0769230769231;51306.5384615385;-282.461538461538;-2.07692307692308;282.461538461538;0.475345076923077;0.0236686230769231;0.451676384615385;0.958579615384615;0.531477230769231;-0.00723664153846154;0.00459764307692308;777.648692307692;422.273076923077;148.774307692308;1.65337900000006;32.13039;-0.774829
-100;0;0;1876.30769230769;11.6923076923077;-1900.07692307692;282.461538461538;-2.07692307692308;-276.230769230769;0.502959153846154;0.110453553846154;0.447731692307692;1.05917253846154;-0.556514076923077;0.0137790153846154;0.0275857537030162;770.833;435.009615384615;148.137384615385;0.426564;-29.96109;-0.158367
-100;0;0;6402.61538461538;7.84615384615385;-6387.92307692308;286.615384615385;2.07692307692308;-284.538461538462;0.349112153846154;0.00986193076923077;0.408283853846154;0.767258384615385;-0.431327538461538;-0.0295661307692308;-0.0197041844245354;781.400692307692;417.488307692308;148.083769230769;-0.426566999999915;-34.75665;-0.3181928
