X axis speed, mm/s;Y axis speed, mm/s;Rotational speed, deg/s;Motor 1 encoder, ticks;Motor 2 encoder, ticks;Motor 3 encoder, ticks;Motor 1 velocity, rpm;Motor 2 velocity, rpm;Motor 3 velocity, rpm;Motor 1 current, A;Motor 2 current, A;Motor 3 current, A;Sum motor current, A;Current X, A;Current Y, A;Current Z, A;X coordinate, pixels;Y coodinate, pixels;Angle, deg;Delta angle, deg;Delta X, mm;Delta Y, mm
100;0;0;-1738.30769230769;-41.4615384615385;1766.30769230769;-240.923076923077;-2.07692307692308;245.076923076923;1.01577930769231;0.0631163384615385;0.982249;2.05719923076923;1.14034415384615;-0.04997246;0.00525443403700308;736.031153846154;885.883307692308;48.3704923076923;0.10442;18.067586;-0.508391
100;0;0;-5541.84615384615;-95.4615384615385;5574.53846153846;-259.615384615385;-2.07692307692308;245.076923076923;0.958579461538462;0.00788953846153846;0.954633769230769;1.92307769230769;1.09823246153846;-0.00460748307692308;0.00525444;729.731769230769;881.167076923077;47.9029307692308;-0.0713214999998723;11.1991548;2.3162233
100;0;0;-9475.84615384615;-141;9400;-257.538461538462;-2.07692307692308;249.230769230769;0.936883307692308;0.0414200846153846;0.925049153846154;1.90335307692308;1.07433746153846;-0.0184121692307692;0.00328405422785308;722.399692307692;874.213769230769;47.1537076923077;-3.996827;19.18418;-0.18746
100;0;0;-13486.5384615385;-185.769230769231;13334.7692307692;-253.384615384615;0;243;0.921104692307692;0.0138066923076923;0.968441769230769;1.90335307692308;1.09026938461538;0.00655422769230769;0.0203609276923077;715.755923076923;868.051769230769;46.5169230769231;0.531056;13.936907;-0.3952194
100;0;0;-17267.5384615385;-215.615384615385;17094.3076923077;-234.692307692308;-2.07692307692308;247.153846153846;1.03155738461538;0.00986193076923077;1.04339253846154;2.08481153846154;1.19724707692308;0.00525639692307692;0.00328399692307693;709.938384615385;863.577153846154;45.9429692307692;0.5904055;12.8536686;0.8920579
100;0;0;-20860.2307692308;-226.615384615385;20633;-245.076923076923;0;261.692307692308;0.986192769230769;0.00394476923076923;0.942801076923077;1.93293846153846;1.11302861538462;-0.01708088;-0.0131361030292107;704.396538461538;858.413384615384;43.9336384615385;0.0472215000000006;14.480219;1.9676942
100;0;0;-24726.8461538462;-233.692307692308;24481;-257.538461538462;0;253.384615384615;0.919132384615384;0.00197238461538462;0.909269846153846;1.83037384615385;1.05954146153846;-0.0072268;-0.00525441538461539;697.477307692308;852.802538461539;44.0671538461538;-6.2945215;16.268362;2.5812069
100;0;0;-28470.6923076923;-232.615384615385;28141.6923076923;-255.461538461538;0;251.307692307692;0.936883307692308;0.00788953846153846;0.927021153846154;1.87179384615385;1.07205923076923;-0.00657594230769231;0.00131360307692308;690.902307692308;847.570307692308;43.1328615384615;-2.96514299999994;12.766288;1.5756832
100;0;0;-32027.3846153846;-234.538461538462;31654.5384615385;-253.384615384615;-2.07692307692308;257.538461538462;0.992111769230769;0.0118343230769231;0.928994384615384;1.92307615384615;1.10506392307692;-0.0308856084615385;-0.0151065015384615;684.912923076923;842.303615384615;42.4124615384615;-1.7088425;10.3411476;1.6196773
100;0;0;-35717;-247.384615384615;35397.6153846154;-243;-2.07692307692308;249.230769230769;0.968441692307692;0.00197238461538462;1.02761338461538;1.99802769230769;1.15172453846154;0.0183885538461538;0.0203609384615385;679.198538461538;836.727;42.1895384615385;-2.98263129999991;14.903264;3.0343554
100;0;0;-39808.0769230769;-250.769230769231;39390.3076923077;-255.461538461538;0;245.076923076923;0.942799923076923;0.00197238461538462;0.972386;1.91715846153846;1.11985761538462;-2.00923076923005e-06;0.00197038;672.727384615385;831.081461538461;42.2311846153846;1.1662222;14.996349;1.861514
100;0;0;-43582.3076923077;-240.769230769231;43080.6923076923;-236.769230769231;0;238.846153846154;0.99211;0.00788953846153846;1.00394446153846;1.97830307692308;1.13920515384615;-0.00460746923076923;0.00525446923076923;666.840538461538;825.814923076923;41.4766923076923;-0.540958;12.865313;-1.5561608
-100;0;0;2186.07692307692;0.769230769230769;-2250.07692307692;255.461538461538;0;-251.307692307692;0.917159076923077;0;0.856015923076923;1.76923;-1.00605176923077;0.0131361015384615;0.0131361015384615;663.329538461538;823.990307692308;40.9783307692308;0.540948;-18.01871;-1.8642309
-100;0;0;6008.07692307692;8.30769230769231;-6084.07692307692;245.076923076923;2.07692307692308;-243;1.05325361538462;0.0177514769230769;0.952663;2.02366769230769;-1.15741292307692;0.0216567923076923;0.0394082847108092;669.594384615385;831.391230769231;41.2205384615385;3.0773107;-19.931918;1.0129471
-100;0;0;9763;2.46153846153846;-9865.38461538462;253.384615384615;-2.07692307692308;-243;1.02169746153846;0.0157790923076923;0.960552692307692;1.98619384615385;-1.13465223076923;0.0190355059692308;0.0308698307692308;676.651307692308;839.962769230769;40.7447538461538;2.05299830000014;-18.24075;1.5672653
-100;0;0;13470.4615384615;-5;-13563.2307692308;247.153846153846;0;-255.461538461538;0.978302923076923;0;0.962524615384615;1.94082846153846;-1.12213315384615;0.00656806307692308;0.00656806307692308;682.641076923077;847.467076923077;40.8885769230769;0.692274;-17.6053792;1.0751218
-100;0;0;17176.4615384615;-5.92307692307692;-17297.1538461538;247.153846153846;0;-245.076923076923;1.069034;0.00788953846153846;0.996055538461539;2.06114307692308;-1.18472815384615;0.0150986476923077;0.0229881938461538;688.699461538462;854.248153846154;41.1257769230769;0.0597841000000001;-15.563473;-4.0248647
-100;0;0;21043.2307692308;0.769230769230769;-21201.3846153846;238.846153846154;0;-238.846153846154;1.04142046153846;0;1.04930838461538;2.10256538461539;-1.21318076923077;0.00131361538461538;0.00131361538461538;695.928307692308;862.165538461539;40.6754153846154;1.7724949;-17.50327;-0.1641819
-100;0;0;24967.4615384615;-3.53846153846154;-25119.7692307692;230.538461538462;0;-234.692307692308;1.02366830769231;0.0197238461538462;1.02169623076923;2.06508923076923;-1.18017415384615;-0.0124989876923077;0.00722487692307692;702.330923076923;868.981461538462;40.4036692307692;3.0000000853514e-06;-16.262077;-1.2971281
-100;0;0;28442.4615384615;-0.461538461538462;-28585.2307692308;253.384615384615;0;-249.230769230769;0.917159153846154;0;0.879684692307692;1.81853846153846;-1.04929846153846;0.0197041353846154;0.0197041353846154;708.423846153846;876.347692307692;40.4057153846154;0.635768;-21.63367;-0.000400300000000131
-100;0;0;32180.4615384615;-1.69230769230769;-32302.6153846154;255.461538461538;0;-245.076923076923;0.932938;0;0.948718153846154;1.85404384615385;-1.08230276923077;-0.00722488461538461;-0.00722488461538461;715.549384615385;884.850538461538;40.0129923076923;-0.5254229;-18.606964;-1.6276484
-100;0;0;35956.5384615385;-9.23076923076923;-36036;255.461538461538;-2.07692307692308;-236.769230769231;0.911243076923077;0.00394476923076923;1.08284184615385;2.00197307692308;-1.15513630769231;-0.0532012076923077;-0.0532012153846154;721.78;891.907;39.3609615384615;-0.631923999999943;-19.18325;3.9236769
-100;0;0;39513.8461538462;-40.8461538461538;-39519;247.153846153846;0;-243;0.976331846153846;0.0473372384615385;1.02761415384615;2.04536384615385;-1.15855276923077;-0.0433905138461538;-0.00197045379844146;727.184538461539;898.653923076923;39.3396076923077;1.381881;-16.907208;-1.058203
-100;0;0;43169.7692307692;-88.4615384615385;-43045.5384615385;255.461538461538;0;-247.153846153846;0.842209076923077;0.0138067076923077;0.978302923076923;1.83431923076923;-1.05043646153846;-0.0545285384615385;-0.0407218923076923;732.141384615385;906.571461538462;39.1936230769231;-1.895728;-16.79473;2.930063
100;0;0;-2206.38461538462;-33.3846153846154;2208.07692307692;-230.538461538462;-2.07692307692308;232.615384615385;1.14792784615385;0.0216962307692308;1.15384515384615;2.31952615384615;1.32812323076923;-0.00723866171538462;0.00656805384615385;657.615692307692;817.587923076923;49.2947384615385;-1.2447539;4.837338;1.979359
100;0;0;-5776.30769230769;-25.3846153846154;5619.07692307692;-247.153846153846;2.07692307692308;228.461538461538;1.12820576923077;0.00986193076923077;1.30572076923077;2.43589846153846;1.39982307692308;0.0551616075153846;0.0650235353846154;652.968538461539;816.624076923077;49.5972692307692;-1.15181309999993;8.969512;2.195003
100;0;0;-9191.92307692308;-19.8461538461538;8939;-253.384615384615;4.15384615384615;245.076923076923;1.00197207692308;0.00394476923076923;1.01577853846154;2.01775230769231;1.14830976923077;0.00853452307692308;0.0124792924031171;648.355461538461;812.906;49.2412307692308;-1.692761;12.232771;-0.3267423
100;0;0;-12797.7692307692;-38.6923076923077;12420.6153846154;-240.923076923077;-4.15384615384615;243;0.988164461538461;0.0216962307692308;1.01380753846154;2.03747461538462;1.15741361538462;0.0111577307692308;0.0190472846153846;642.916615384616;809.050692307692;49.5883153846154;-0.633897200000078;13.568337;1.887078
100;0;0;-16509.7692307692;-122.153846153846;16108;-240.923076923077;-8.30769230769231;240.923076923077;1.09270246153846;0.0236686230769231;1.09270292307692;2.20907384615385;1.26097692307692;-0.00263113846153846;0.00131363384615385;636.273153846154;804.128538461539;49.1120461538462;3.02034069999983;19.7260264;-1.3872791
