X axis speed, mm/s;Y axis speed, mm/s;Rotational speed, deg/s;Motor 1 encoder, ticks;Motor 2 encoder, ticks;Motor 3 encoder, ticks;Motor 1 velocity, rpm;Motor 2 velocity, rpm;Motor 3 velocity, rpm;Motor 1 current, A;Motor 2 current, A;Motor 3 current, A;Sum motor current, A;Current X, A;Current Y, A;Current Z, A;X coordinate, pixels;Y coodinate, pixels;Angle, deg;Delta angle, deg;Delta X, mm;Delta Y, mm
100;0;0;-1889.15384615385;0;1853.15384615385;-265.846153846154;0;265.846153846154;1.03944746153846;0;1.08875876923077;2.11637230769231;1.23935538461538;0.00985203846153846;0.00985203846153846;149.496692307692;762.924;265.311384615385;-0.696695;-0.896355;0.743319
100;0;0;-5785.15384615385;0;5668.92307692308;-245.076923076923;0;251.307692307692;1.02366807692308;0;1.03155884615385;2.05128153846154;1.19041538461538;-0.0013136;-0.0013136;149.531076923077;762.855230769231;265.194;-2.221388;1.705035;-1.556725
100;0;0;-9459.84615384615;0;9228.61538461538;-240.923076923077;0;257.538461538462;1.03353084615385;0;1.11242792307692;2.14595769230769;1.23707769230769;0.0269290707692308;0.0269290707692308;149.462384615385;762.855076923077;265.305846153846;0;-0.8982492;0.753197
100;0;0;-13418.7692307692;0;13092.3076923077;-259.615384615385;0;253.384615384615;0.982249538461538;0;1.00789046153846;1.99211076923077;1.16196615384615;0.00197027692307693;0.00197027692307693;149.462384615385;762.889461538461;265.365;0;-1.7745;1.508326
100;0;0;-16809.1538461538;0;16358.4615384615;-247.153846153846;0;247.153846153846;1.01972461538462;0;1.07495076923077;2.09467615384615;1.20862584615385;0.0183904784615385;0.0183904784615385;149.565538461538;762.992846153846;265.365;0;-0.88725;0.754163
100;0;0;-20243.0769230769;0;19670.1538461538;-261.692307692308;0;249.230769230769;0.940828461538461;0;1.16962584615385;2.11045307692308;1.21431846153846;0.0781596907692308;0.0781596907692308;149.427923076923;762.820615384615;265.253153846154;0;0.847621;-0.778853
100;0;0;-23916.5384615385;0;23196;-259.615384615385;0;243;0.925048846153846;0;1.08481338461538;1.99211076923077;1.149449;0.0591124323076923;0.0591124323076923;149.496769230769;762.889538461538;265.300923076923;0.768328;-2.6162394;1.428852
100;0;0;-27611;0;26794.0769230769;-263.769230769231;0;245.076923076923;0.998028153846154;0;1.00394476923077;2.03550230769231;1.17220969230769;0.0144497215384615;0.0144497215384615;149.531076923077;762.786230769231;265.060923076923;0.6847371;-0.106666;0.8063187
100;0;0;-31457.6923076923;0;30495.0769230769;-259.615384615385;0;249.230769230769;0.960551846153846;0;1.02958561538462;2.01972538461538;1.16310253846154;0.0144497769230769;0.0144497769230769;149.531153846154;762.924;265.295307692308;-0.0632171;1.7624481;-1.509393
100;0;0;-35249.4615384615;0;34223.3076923077;-257.538461538462;0;255.461538461538;0.968442307692308;0;1.00591676923077;1.98816615384615;1.17562230769231;0.000656800000000001;0.000656800000000001;149.531076923077;762.924;265.253153846154;0;-1.814129;1.483636
100;0;0;-39096.4615384615;0;37956;-245.076923076923;0;245.076923076923;1.09664784615385;0;1.05325376923077;2.14990230769231;1.24049246153846;-0.0144497;-0.0144497;149.427923076923;762.683;264.906230769231;-2.90612;-1.1125468;2.3660172
100;0;0;-43042.5384615385;0;41745.6153846154;-257.538461538462;0;245.076923076923;1.01577846153846;0;0.992110846153846;2.01577846153846;1.13806638461538;0.00919524153846154;0.00919524153846154;149.531153846154;762.786307692308;265.058692307692;0.0632171000000001;0.8752243;-0.7330566
100;0;0;-47293.8461538462;0;45874.6153846154;-274.153846153846;0;249.230769230769;0.891518846153846;0;1.08678569230769;1.98619307692308;1.13465361538462;0.0689645615384615;0.0689645615384615;149.599769230769;762.786384615384;264.740153846154;-3.4336886;-1.86037;1.4383572
-100;0;0;2066.84615384615;0;-2048.76923076923;236.769230769231;0;-222.230769230769;0.992109615384615;0;1.20512876923077;2.197238;-1.22569842307692;-0.00853851538461539;-0.00853851538461539;149.186769230769;762.545461538461;264.931230769231;-0.768328;-0.8482387;-0.100406
-100;0;0;5835.84615384615;0;-5743.15384615385;249.230769230769;0;-251.307692307692;1.09861992307692;0;1.16962538461538;2.28599615384615;-1.29853307692308;-0.0269289538461539;-0.0269289538461539;148.98;762.408;264.596;0;0;0
-100;0;0;9888.69230769231;0;-9592.76923076923;249.230769230769;0;-230.538461538462;1.05719853846154;0;1.40236692307692;2.45956615384615;-1.41803230769231;-0.115597676923077;-0.115597676923077;148.945538461538;762.442307692308;264.714307692308;0;-0.0109992;-0.000965999999999911
-100;0;0;13681.2307692308;0;-13288.3846153846;247.153846153846;0;-226.384615384615;1.12031561538462;0;1.17751507692308;2.29585769230769;-1.32470923076923;-0.0197041553846154;-0.0197041553846154;148.807692307692;762.304538461538;264.708692307692;-0.8419054;-0.086625;0.808929
-100;0;0;17558.8461538462;0;-17042.9230769231;251.307692307692;0;-232.615384615385;1.16370846153846;0;1.09862176923077;2.26035384615385;-1.30422384615385;0.0210177523076923;0.0210177523076923;148.807692307692;762.476692307692;265.010076923077;0.768328;-1.7419206;0.6957204
-100;0;0;21002.6923076923;0;-20343.6153846154;247.153846153846;0;-245.076923076923;0.968441230769231;0;1.09467307692308;2.08284;-1.20407230769231;-0.0472899338461538;-0.0472899338461538;148.807692307692;762.442076923077;264.946;-0.831545;0.768413;0.0517650000000004
-100;0;0;25002.6923076923;0;-24234.7692307692;240.923076923077;0;-234.692307692308;1.05128192307692;0;1.15581969230769;2.18934923076923;-1.27349615384615;-0.0348106461538462;-0.0348106461538462;148.807692307692;762.407615384615;264.886153846154;1.536656;1.8735508;-3.164885
-100;0;0;28739.5384615385;0;-27883.3076923077;251.307692307692;0;-249.230769230769;1.02169669230769;0;1.06706169230769;2.07692307692308;-1.18586692307692;-0.0183905769230769;-0.0183905769230769;148.842153846154;762.476538461538;264.832615384615;-1.536656;-1.9161078;2.300275
-100;0;0;32475.3076923077;0;-31434.1538461538;251.307692307692;0;-249.230769230769;1.02958538461538;0;1.17357038461538;2.20315615384615;-1.28146307692308;-0.0420355923076923;-0.0420355923076923;148.738769230769;762.338846153846;264.832615384615;0;0.8087418;0.0765780000000003
-100;0;0;36199.1538461538;0;-35086.2307692308;251.307692307692;0;-251.307692307692;1.05522707692308;0;1.07889484615385;2.10059153846154;-1.22114538461538;0.000656812307692308;0.000656812307692308;148.807692307692;762.58;265.010076923077;1.536656;1.0969146;-3.2043188
-100;0;0;39932.8461538462;0;-38768.4615384615;259.615384615385;0;-234.692307692308;1.08678453846154;0;1.07889507692308;2.16568076923077;-1.23252384615385;-0.00722482461538461;-0.00722482461538461;148.704307692308;762.545538461539;265.182615384615;1.536656;0.1887656;-2.475064
-100;0;0;43724.1538461538;0;-42438.4615384615;249.230769230769;0;-247.153846153846;1.005917;0;1.13215046153846;2.13806692307692;-1.23366538461538;-0.0420355369230769;-0.0420355369230769;148.807692307692;762.511;265.010076923077;-1.536656;-0.222595;2.471188
